Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_THT,1,RaspberryPi_Pico,
"C1, C10, C2, C3, C4, C5, C6, C7, C8, C9",0805,10,C,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D59, D6, D60, D61, D62, D63, D66, D69, D7, D70, D71, D72, D74, D75, D76, D77, D78, D79, D8, D80, D9",0805,73,D,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D43, D58, D64, D65, D67, D68, D73, D81, D82, D83, D84, D85, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",SK6812MINI-E,72,SK6812MINI,
SW1,RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles,1,RotaryEncoder_Switch,
"SW10, SW11, SW12, SW13, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW3, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW6, SW7, SW8, SW9",Hotswap_Choc_V1V2_1.00u,43,SW_Push,
SW14,Hotswap_Choc_V1V2_1.00u,1,+,
SW15,Hotswap_Choc_V1V2_2.00u,1,back,
SW16,Hotswap_Choc_V1V2_1.00u,1,`,
SW17,Hotswap_Choc_V1V2_1.50u,1,tab,
SW2,Hotswap_Choc_V1V2_1.00u,1,esc,
SW29,Hotswap_Choc_V1V2_1.00u,1,],
SW30,Hotswap_Choc_V1V2_1.50u,1,\,
SW31,Hotswap_Choc_V1V2_1.00u,1,del,
SW32,Hotswap_Choc_V1V2_1.75u,1,caps,
SW45,Hotswap_Choc_V1V2_2.25u,1,enter,
SW46,Hotswap_Choc_V1V2_1.00u,1,pgup,
SW47,Hotswap_Choc_V1V2_2.25u,1,shift,
SW58,Hotswap_Choc_V1V2_1.75u,1,rshift,
SW60,Hotswap_Choc_V1V2_1.00u,1,up,
SW61,Hotswap_Choc_V1V2_1.00u,1,pgdn,
SW62,Hotswap_Choc_V1V2_1.25u,1,ctrl,
SW63,Hotswap_Choc_V1V2_1.25u,1,win,
SW64,Hotswap_Choc_V1V2_1.25u,1,alt,
SW67,Hotswap_Choc_V1V2_6.25u,1,space,
SW70,Hotswap_Choc_V1V2_1.00u,1,alt,
SW71,Hotswap_Choc_V1V2_1.00u,1,fn,
SW72,Hotswap_Choc_V1V2_1.00u,1,ctrl,
SW73,Hotswap_Choc_V1V2_1.00u,1,left,
SW75,Hotswap_Choc_V1V2_1.00u,1,down,
SW76,Hotswap_Choc_V1V2_1.00u,1,right,
SW77,Hotswap_Choc_V1V2_1.00u,1,M1,
SW78,Hotswap_Choc_V1V2_1.00u,1,M2,
SW79,Hotswap_Choc_V1V2_1.00u,1,M3,
SW80,Hotswap_Choc_V1V2_1.00u,1,M4,
